,file,v,R,maxFR,timingFR,spikes,stimulus,repet,delta,m,S,pval,R2,adjR,mu,NPTS,TPTS,residuals,keeppoints,var,year
477,2024_10_31_0004,10,15,45.622484940380055,-0.06143960963149986,"[-0.43241215 -0.23331215 -0.23221215 -0.09501215 -0.06451215 -0.06371215
 -0.05431215 -0.04901215 -0.04671215]",LOOM,0,0.1094188376753507,1.0600207042974953e-08,5.325768097192589e-09,0.20529592877379985,0.09259059914272605,0.039213575562886405,3.6275784735521137e-09,19,20,"0.17309649035622343,0.5461146298185657,0.0884816444210392,0.2594860876988166,0.18653771523622223,0.05710839933752631,0.4896496764008497,0.7126392843483293,3.7469463520524777,0.9015005837634008,0.3145690154977385,0.5404860184380575,0.8097779656014885,0.8757006932042934,0.6136660336175848,0.253300393893629,0.6796911702277596,0.3602342011178277,0.5247309538950385",18,5.325768097192589e-09,2024
478,2024_10_31_0004,40,15,39.623887146182994,0.02054701541621251,"[-0.12232506 -0.07442506 -0.03732506 -0.02942506  0.01177494  0.02617494
  0.05477494  0.07147494  0.09837494  0.18927494]",LOOM,0,0.1094188376753507,1.0600207042974953e-08,5.325768097192589e-09,0.20529592877379985,0.09259059914272605,0.039213575562886405,3.6275784735521137e-09,19,20,"0.17309649035622343,0.5461146298185657,0.0884816444210392,0.2594860876988166,0.18653771523622223,0.05710839933752631,0.4896496764008497,0.7126392843483293,3.7469463520524777,0.9015005837634008,0.3145690154977385,0.5404860184380575,0.8097779656014885,0.8757006932042934,0.6136660336175848,0.253300393893629,0.6796911702277596,0.3602342011178277,0.5247309538950385",18,5.325768097192589e-09,2024
479,2024_10_31_0004,5,15,34.89816977456933,0.1305398828817229,"[-0.43413071 -0.22253071 -0.15063071 -0.11613071 -0.11053071 -0.06993071
 -0.01983071 -0.01523071  0.11176929  0.11416929  0.13036929  0.13936929
  0.19076929]",LOOM,0,0.1094188376753507,1.0600207042974953e-08,5.325768097192589e-09,0.20529592877379985,0.09259059914272605,0.039213575562886405,3.6275784735521137e-09,19,20,"0.17309649035622343,0.5461146298185657,0.0884816444210392,0.2594860876988166,0.18653771523622223,0.05710839933752631,0.4896496764008497,0.7126392843483293,3.7469463520524777,0.9015005837634008,0.3145690154977385,0.5404860184380575,0.8097779656014885,0.8757006932042934,0.6136660336175848,0.253300393893629,0.6796911702277596,0.3602342011178277,0.5247309538950385",18,5.325768097192589e-09,2024
480,2024_10_31_0004,20,15,26.9305407646666,0.01354531952723348,"[-0.20882804 -0.16202804 -0.02092804 -0.01662804  0.03287196  0.04977196
  0.13437196]",LOOM,0,0.1094188376753507,1.0600207042974953e-08,5.325768097192589e-09,0.20529592877379985,0.09259059914272605,0.039213575562886405,3.6275784735521137e-09,19,20,"0.17309649035622343,0.5461146298185657,0.0884816444210392,0.2594860876988166,0.18653771523622223,0.05710839933752631,0.4896496764008497,0.7126392843483293,3.7469463520524777,0.9015005837634008,0.3145690154977385,0.5404860184380575,0.8097779656014885,0.8757006932042934,0.6136660336175848,0.253300393893629,0.6796911702277596,0.3602342011178277,0.5247309538950385",18,5.325768097192589e-09,2024
481,2024_10_31_0004,30,15,42.61939531193187,-0.07545725180819984,"[-0.16072867 -0.12822867 -0.09862867 -0.08252867 -0.06682867 -0.04092867
 -0.03632867  0.02447133  0.10257133  0.17897133]",LOOM,0,0.1094188376753507,1.0600207042974953e-08,5.325768097192589e-09,0.20529592877379985,0.09259059914272605,0.039213575562886405,3.6275784735521137e-09,19,20,"0.17309649035622343,0.5461146298185657,0.0884816444210392,0.2594860876988166,0.18653771523622223,0.05710839933752631,0.4896496764008497,0.7126392843483293,3.7469463520524777,0.9015005837634008,0.3145690154977385,0.5404860184380575,0.8097779656014885,0.8757006932042934,0.6136660336175848,0.253300393893629,0.6796911702277596,0.3602342011178277,0.5247309538950385",18,5.325768097192589e-09,2024
482,2024_10_31_0004,10,15,21.114242950039728,-0.10045476312347379,[-0.18702757 -0.11572757 -0.09932757 -0.03522757  0.02557243  0.16627243],LOOM,0,0.1094188376753507,1.0600207042974953e-08,5.325768097192589e-09,0.20529592877379985,0.09259059914272605,0.039213575562886405,3.6275784735521137e-09,19,20,"0.17309649035622343,0.5461146298185657,0.0884816444210392,0.2594860876988166,0.18653771523622223,0.05710839933752631,0.4896496764008497,0.7126392843483293,3.7469463520524777,0.9015005837634008,0.3145690154977385,0.5404860184380575,0.8097779656014885,0.8757006932042934,0.6136660336175848,0.253300393893629,0.6796911702277596,0.3602342011178277,0.5247309538950385",18,5.325768097192589e-09,2024
483,2024_10_31_0004,40,15,41.2520609924091,0.04454117252590428,"[-0.10133265 -0.10013265 -0.06833265 -0.05073265 -0.01563265  0.03346735
  0.03436735  0.05106735  0.07676735  0.10726735  0.13416735]",LOOM,0,0.1094188376753507,1.0600207042974953e-08,5.325768097192589e-09,0.20529592877379985,0.09259059914272605,0.039213575562886405,3.6275784735521137e-09,19,20,"0.17309649035622343,0.5461146298185657,0.0884816444210392,0.2594860876988166,0.18653771523622223,0.05710839933752631,0.4896496764008497,0.7126392843483293,3.7469463520524777,0.9015005837634008,0.3145690154977385,0.5404860184380575,0.8097779656014885,0.8757006932042934,0.6136660336175848,0.253300393893629,0.6796911702277596,0.3602342011178277,0.5247309538950385",18,5.325768097192589e-09,2024
484,2024_10_31_0004,5,15,48.47466552465191,-0.078432715326191,"[-0.82620758 -0.70270758 -0.50660758 -0.40530758 -0.33320758 -0.15650758
 -0.11730758 -0.10620758 -0.08190758 -0.07250758 -0.06260758 -0.03740758
 -0.02190758]",LOOM,0,0.1094188376753507,1.0600207042974953e-08,5.325768097192589e-09,0.20529592877379985,0.09259059914272605,0.039213575562886405,3.6275784735521137e-09,19,20,"0.17309649035622343,0.5461146298185657,0.0884816444210392,0.2594860876988166,0.18653771523622223,0.05710839933752631,0.4896496764008497,0.7126392843483293,3.7469463520524777,0.9015005837634008,0.3145690154977385,0.5404860184380575,0.8097779656014885,0.8757006932042934,0.6136660336175848,0.253300393893629,0.6796911702277596,0.3602342011178277,0.5247309538950385",18,5.325768097192589e-09,2024
485,2024_10_31_0004,20,15,18.200185513266433,-0.060460120240490633,"[-0.16122886 -0.06312886 -0.06132886  0.04397114  0.06717114  0.17167114
  0.17837114]",LOOM,0,0.1094188376753507,1.0600207042974953e-08,5.325768097192589e-09,0.20529592877379985,0.09259059914272605,0.039213575562886405,3.6275784735521137e-09,19,20,"0.17309649035622343,0.5461146298185657,0.0884816444210392,0.2594860876988166,0.18653771523622223,0.05710839933752631,0.4896496764008497,0.7126392843483293,3.7469463520524777,0.9015005837634008,0.3145690154977385,0.5404860184380575,0.8097779656014885,0.8757006932042934,0.6136660336175848,0.253300393893629,0.6796911702277596,0.3602342011178277,0.5247309538950385",18,5.325768097192589e-09,2024
486,2024_10_31_0004,30,15,32.28558905272644,-0.15545632537049137,"[-0.18333154 -0.18213154 -0.15023154 -0.14673154 -0.06363154 -0.05923154
  0.02586846  0.11136846  0.13066846]",LOOM,0,0.1094188376753507,1.0600207042974953e-08,5.325768097192589e-09,0.20529592877379985,0.09259059914272605,0.039213575562886405,3.6275784735521137e-09,19,20,"0.17309649035622343,0.5461146298185657,0.0884816444210392,0.2594860876988166,0.18653771523622223,0.05710839933752631,0.4896496764008497,0.7126392843483293,3.7469463520524777,0.9015005837634008,0.3145690154977385,0.5404860184380575,0.8097779656014885,0.8757006932042934,0.6136660336175848,0.253300393893629,0.6796911702277596,0.3602342011178277,0.5247309538950385",18,5.325768097192589e-09,2024
